full_country_year,country_full,year_full,country,year,MPI,var_sample,A_int,A_avg,A_avg_raw,A_int_rank,centrality_w_norm,centrality_w_norm_rank,full_names,,,,,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_cm_01,0.005433872,0.02432422,0.376073716,10,0.014260648,10,Child mortality,,,AFG,Afghanistan,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_nutr_01,0.033832475,0.14237664,0.347675113,5,0.08406571,6,Nutrition,,,ALB,Albania,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_satt_01,0.013156099,0.064792676,0.368351489,8,0.03808504,9,School attendance,,,DZA,Algeria,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_educ_01,0.012470327,0.066745649,0.369037262,9,0.039207665,8,Schooling,,,ASM,American Samoa,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_elct_01,0.062034457,0.273218983,0.319473131,3,0.1609806,3,Electricity,,,AND,Andorra,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_wtr_01,0.027139876,0.138203766,0.354367712,7,0.080280869,7,Drinking water,,,AGO,Angola,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_sani_01,0.067913636,0.276396515,0.313593952,1,0.165019319,1,Sanitation,,,AIA,Anguilla,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_hsg_01,0.061993444,0.263406814,0.319514144,4,0.156049267,4,Housing,,,ATA,Antarctica,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_ckfl_01,0.06440947,0.278669633,0.317098118,2,0.164711877,2,Cooking fuel,,,ATG,Antigua and Barbuda,,,
Namibia 2007,Namibia,2007,nam,7,0.381507588,d_asst_01,0.033123931,0.167038789,0.348383657,6,0.097339005,5,Assets,,,ARG,Argentina,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_cm_01,0.00031064,0.000109493,0.026691593,8,0.007449517,9,Child mortality,,,ARM,Armenia,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_satt_01,0.00413744,0.000617543,0.022864793,4,0.05321798,7,School attendance,,,ABW,Aruba,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_educ_01,0.002881468,0.001537925,0.024120765,5,0.16105664,3,Schooling,,,AUS,Australia,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_elct_01,0.000112213,0.00018469,0.026890021,9,0.025359994,8,Electricity,,,AUT,Austria,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_wtr_01,0.001932519,0.000865954,0.025069714,6,0.082035868,6,Drinking water,,,AZE,Azerbaijan,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_sani_01,0.004467226,0.001306955,0.022535007,2,0.131114432,5,Sanitation,,,BHS,Bahamas (the),,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_hsg_01,0.00742449,0.002014195,0.019577743,1,0.206513917,1,Housing,,,BHR,Bahrain,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_ckfl_01,0.004405125,0.002012509,0.022597109,3,0.197455425,2,Cooking fuel,,,BGD,Bangladesh,,,
Ukraine 2007,Ukraine,2007,ukr,7,0.027002233,d_asst_01,0.001331112,0.001183849,0.025671121,7,0.135796227,4,Assets,,,BRB,Barbados,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_cm_01,0.003125179,0.00247865,0.060199368,6,0.041346368,7,Child mortality,,,BLR,Belarus,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_nutr_01,0.012742573,0.009143659,0.050581974,2,0.16115447,3,Nutrition,,,BEL,Belgium,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_satt_01,0.01724764,0.012940898,0.046076906,1,0.235710712,1,School attendance,,,BLZ,Belize,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_educ_01,0.011324349,0.010946452,0.052000198,3,0.191311643,2,Schooling,,,BEN,Benin,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_elct_01,0.00011472,0.000349304,0.063209827,10,0.009960811,10,Electricity,,,BMU,Bermuda,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_wtr_01,0.001897612,0.002523298,0.061426935,7,0.050442558,6,Drinking water,,,BTN,Bhutan,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_sani_01,0.008234379,0.007466088,0.055090168,4,0.133892919,5,Sanitation,,,BOL,Bolivia (Plurinational State of),,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_hsg_01,0.007928284,0.007123694,0.055396263,5,0.137112006,4,Housing,,,BES,"Bonaire, Sint Eustatius and Saba",,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_ckfl_01,0.000353356,0.000985103,0.06297119,9,0.020554383,8,Cooking fuel,,,BIH,Bosnia and Herzegovina,,,
Iraq 2018,Iraq,2018,irq,18,0.063324547,d_asst_01,0.000356454,0.000754998,0.062968093,8,0.01851413,9,Assets,,,BWA,Botswana,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_cm_01,0.004941845,0.025011952,0.466992296,10,0.012079012,10,Child mortality,,,BVT,Bouvet Island,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_nutr_01,0.027642159,0.132045069,0.444291982,7,0.063451555,8,Nutrition,,,BRA,Brazil,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_satt_01,0.007577059,0.039977875,0.464357082,9,0.019374754,9,School attendance,,,IOT,British Indian Ocean Territory (the),,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_educ_01,0.026701797,0.13772627,0.445232344,8,0.066091615,7,Schooling,,,BRN,Brunei Darussalam,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_elct_01,0.088724351,0.363235576,0.38320979,2,0.177485884,2,Electricity,,,BGR,Bulgaria,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_wtr_01,0.048733116,0.221025404,0.423201025,4,0.106198949,5,Drinking water,,,BFA,Burkina Faso,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_sani_01,0.046186575,0.208007563,0.425747566,6,0.100189877,6,Sanitation,,,BDI,Burundi,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_hsg_01,0.075787273,0.33138284,0.396146868,3,0.16030772,3,Housing,,,CPV,Cabo Verde,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_ckfl_01,0.097897357,0.373195694,0.374036784,1,0.184803339,1,Cooking fuel,,,KHM,Cambodia,,,
Malawi 2016,Malawi,2016,mwi,16,0.471934141,d_asst_01,0.047742609,0.22948165,0.424191532,5,0.110017295,4,Assets,,,CMR,Cameroon,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_cm_01,0.002006742,0.002377492,0.066687219,6,0.054853964,5,Child mortality,,,CAN,Canada,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_nutr_01,0.002727181,0.001343852,0.06596678,4,0.030425394,9,Nutrition,,,CYM,Cayman Islands (the),,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_satt_01,0.000677068,0.001178519,0.068016893,8,0.042991181,6,School attendance,,,CAF,Central African Republic (the),,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_educ_01,0.00187786,0.00226148,0.066816101,7,0.074555089,4,Schooling,,,TCD,Chad,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_elct_01,0.000295966,0.000958487,0.068397995,9,0.038704454,7,Electricity,,,CHL,Chile,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_wtr_01,0.002326119,0.002158014,0.066367842,5,0.034667397,8,Drinking water,,,CHN,China,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_sani_01,0.004358752,0.005329859,0.064335209,3,0.125291433,3,Sanitation,,,CXR,Christmas Island,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_hsg_01,0.009115405,0.006641533,0.059578556,2,0.137443704,2,Housing,,,CCK,Cocos (Keeling) Islands (the),,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_ckfl_01,0.045140235,0.014278696,0.023553726,1,0.434435189,1,Cooking fuel,,,COL,Colombia,,,
Montenegro 2013,Montenegro,2013,mne,13,0.068693961,d_asst_01,0.000168632,0.000589761,0.068525329,10,0.026632196,10,Assets,,,COM,Comoros (the),,,
Dominican Republic  2007,Dominican Republic ,2007,dom,7,0.144505787,d_cm_01,0.001763961,0.003103135,0.142741826,9,0.011474377,9,Child mortality,,,COD,Congo (the Democratic Republic of the),,,
Dominican Republic  2007,Dominican Republic ,2007,dom,7,0.144505787,d_satt_01,0.006619172,0.012585166,0.137886615,6,0.047991052,8,School attendance,,,COG,Congo,,,
