hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10006,1000601,1,1,1,0.172113,1,1,1,3.0,2.0,1,1.0,0.0,1,0.0,0,0,1,0,1,0,1.0,0.0,1,0.0,0,0,1,0,1,0
10006,1000602,1,1,1,0.172113,1,1,1,3.0,2.0,1,1.0,0.0,1,0.0,0,0,1,0,1,0,1.0,0.0,1,0.0,0,0,1,0,1,0
10006,1000603,1,1,1,0.172113,1,1,1,1.0,1.0,1,1.0,0.0,1,0.0,0,0,1,0,1,0,1.0,0.0,1,0.0,0,0,1,0,1,0
10006,1000604,1,1,1,0.172113,1,1,1,2.0,1.0,1,1.0,0.0,1,0.0,0,0,1,0,1,0,1.0,0.0,1,0.0,0,0,1,0,1,0
10006,1000605,1,1,1,0.172113,1,1,1,2.0,1.0,1,1.0,0.0,1,0.0,0,0,1,0,1,0,1.0,0.0,1,0.0,0,0,1,0,1,0
10014,1001401,1,1,1,0.172113,1,1,1,3.0,2.0,1,0.0,0.0,0,1.0,0,0,1,0,0,0,0.0,0.0,0,1.0,0,0,1,0,0,0
10031,1003101,1,1,1,0.172113,1,1,1,4.0,2.0,2,0.0,0.0,0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0,0,0,1,0
10031,1003102,1,1,1,0.172113,1,1,1,3.0,2.0,2,0.0,0.0,0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0,0,0,1,0
10031,1003103,1,1,1,0.172113,1,1,1,3.0,2.0,2,0.0,0.0,0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0,0,0,1,0
10031,1003104,1,1,1,0.172113,1,1,1,3.0,2.0,2,0.0,0.0,0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0,0,0,1,0
10031,1003105,1,1,1,0.172113,1,1,1,2.0,1.0,2,0.0,0.0,0,0.0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0,0,0,1,0
10039,1003901,1,1,1,0.172113,1,1,1,3.0,2.0,1,0.0,0.0,0,0.0,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,1,0,0,0
