hh_id,ind_id,psu,strata,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
101001,101000101,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101001,101000102,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101001,101000103,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101001,101000104,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101001,101000105,101,1,0.149374,1,1,1,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101002,101000201,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101002,101000202,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101002,101000203,101,1,0.149374,1,1,1,2.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101002,101000204,101,1,0.149374,1,1,1,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101003,101000301,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
101003,101000302,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
101003,101000303,101,1,0.149374,1,1,1,2.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
101003,101000304,101,1,0.149374,1,1,1,2.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
101003,101000305,101,1,0.149374,1,1,1,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
101003,101000306,101,1,0.149374,1,1,1,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
101004,101000401,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101004,101000402,101,1,0.149374,1,1,1,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
101004,101000403,101,1,0.149374,1,1,1,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
