hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10007,1000701,1,11,1,0.173693,1,6,4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000702,1,11,1,0.173693,1,6,4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000703,1,11,1,0.173693,1,6,4,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000704,1,11,1,0.173693,1,6,4,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000705,1,11,1,0.173693,1,6,4,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000706,1,11,1,0.173693,1,6,4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000707,1,11,1,0.173693,1,6,4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000708,1,11,1,0.173693,1,6,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000709,1,11,1,0.173693,1,6,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000710,1,11,1,0.173693,1,6,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10007,1000711,1,11,1,0.173693,1,6,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10027,1002701,1,11,1,0.173693,1,6,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1
10045,1004501,1,11,1,0.173693,1,6,4,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,0.0,1,1,1.0,1,,0.0,1.0,1.0,1.0,0.0,1,1,1.0,1
