hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10002,1000201,1,9,1,0.853492,0,5,1,4.0,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000202,1,9,1,0.853492,0,5,1,3.0,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000203,1,9,1,0.853492,0,5,1,3.0,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000205,1,9,1,0.853492,0,5,1,2.0,1.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000207,1,9,1,0.853492,0,5,1,1.0,1.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000208,1,9,1,0.853492,0,5,1,1.0,1.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000209,1,9,1,0.853492,0,5,1,1.0,1.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10002,1000210,1,9,1,0.853492,0,5,1,3.0,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,,1.0
10018,1001801,1,9,1,0.853492,0,5,1,3.0,2.0,2.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,,1.0
10018,1001802,1,9,1,0.853492,0,5,1,2.0,1.0,2.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,,1.0
10018,1001803,1,9,1,0.853492,0,5,1,1.0,1.0,2.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,,1.0
10018,1001804,1,9,1,0.853492,0,5,1,3.0,2.0,2.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,,1.0
10018,1001805,1,9,1,0.853492,0,5,1,1.0,1.0,2.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,,1.0
10024,1002401,1,9,1,0.853492,0,5,1,3.0,2.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,,0.0
10024,1002402,1,9,1,0.853492,0,5,1,3.0,2.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,,0.0
10024,1002403,1,9,1,0.853492,0,5,1,2.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,,0.0
10024,1002404,1,9,1,0.853492,0,5,1,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,0.0,,0.0
