hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10005,1000501,1,9,1,1.992195,0,8,8,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1
10005,1000502,1,9,1,1.992195,0,8,8,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1
10005,1000503,1,9,1,1.992195,0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1
10005,1000504,1,9,1,1.992195,0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1
10005,1000505,1,9,1,1.992195,0,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1
10005,1000506,1,9,1,1.992195,0,8,8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1
10006,1000601,1,9,1,1.992195,0,8,8,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1,0.0,1.0,0.0,1.0,1.0,1,1,1.0,1,1
10006,1000602,1,9,1,1.992195,0,8,8,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1,0.0,1.0,0.0,1.0,1.0,1,1,1.0,1,1
10007,1000701,1,9,1,1.992195,0,8,8,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1,0.0,1.0,0.0,1.0,1.0,1,1,1.0,1,1
10007,1000702,1,9,1,1.992195,0,8,8,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1,0.0,1.0,0.0,1.0,1.0,1,1,1.0,1,1
