hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10001,1000101,1,1,1,1.084696,1,1,1,4,2,1,0.0,0.0,0,1.0,0,0,1,1,1,1,0.0,0.0,0,1.0,0,0,1,1,1,1
10001,1000102,1,1,1,1.084696,1,1,1,4,2,1,0.0,0.0,0,1.0,0,0,1,1,1,1,0.0,0.0,0,1.0,0,0,1,1,1,1
10009,1000901,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10009,1000902,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10009,1000903,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10017,1001701,1,1,1,1.084696,1,1,1,4,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10017,1001702,1,1,1,1.084696,1,1,1,4,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10017,1001703,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10017,1001704,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10017,1001705,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10017,1001706,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10017,1001707,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10025,1002501,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10025,1002502,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10025,1002503,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10033,1003301,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10033,1003302,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10033,1003303,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10033,1003304,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10041,1004101,1,1,1,1.084696,1,1,1,3,2,2,0.0,0.0,0,0.0,0,0,1,1,1,1,0.0,0.0,0,0.0,0,0,1,1,1,1
10041,1004102,1,1,1,1.084696,1,1,1,2,1,2,0.0,0.0,0,0.0,0,0,1,1,1,1,0.0,0.0,0,0.0,0,0,1,1,1,1
10049,1004901,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10049,1004902,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10049,1004903,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10057,1005701,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1
10057,1005702,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1
10057,1005703,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1
10057,1005704,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1
10057,1005705,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1
10057,1005706,1,1,1,1.084696,1,1,1,4,2,1,0.0,1.0,0,0.0,0,0,0,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,1
10065,1006501,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006502,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006503,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006504,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006505,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006506,1,1,1,1.084696,1,1,1,1,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006507,1,1,1,1.084696,1,1,1,1,1,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10065,1006508,1,1,1,1.084696,1,1,1,4,2,1,0.0,0.0,0,0.0,0,0,1,1,1,0,0.0,0.0,0,0.0,0,0,1,1,1,0
10073,1007301,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,0,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1
10073,1007302,1,1,1,1.084696,1,1,1,3,2,1,0.0,0.0,0,0.0,0,0,0,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1
10073,1007303,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1
10073,1007304,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1
10073,1007305,1,1,1,1.084696,1,1,1,2,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1
10073,1007306,1,1,1,1.084696,1,1,1,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1,0.0,0.0,0,0.0,0,0,0,1,1,1
10081,1008101,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10081,1008102,1,1,1,1.084696,1,1,1,4,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10081,1008103,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10081,1008104,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10081,1008105,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,0.0,0,0,0,1,1,0,0.0,1.0,0,0.0,0,0,0,1,1,0
10089,1008901,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,1.0,0,1,1,1,1,1,0.0,0.0,0,1.0,0,1,1,1,1,1
10089,1008902,1,1,1,1.084696,1,1,1,3,2,1,0.0,1.0,0,1.0,0,1,1,1,1,1,0.0,0.0,0,1.0,0,1,1,1,1,1
10089,1008903,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,1.0,0,1,1,1,1,1,0.0,0.0,0,1.0,0,1,1,1,1,1
10089,1008904,1,1,1,1.084696,1,1,1,1,1,1,0.0,1.0,0,1.0,0,1,1,1,1,1,0.0,0.0,0,1.0,0,1,1,1,1,1
10089,1008905,1,1,1,1.084696,1,1,1,4,2,1,0.0,1.0,0,1.0,0,1,1,1,1,1,0.0,0.0,0,1.0,0,1,1,1,1,1
10089,1008906,1,1,1,1.084696,1,1,1,4,2,1,0.0,1.0,0,1.0,0,1,1,1,1,1,0.0,0.0,0,1.0,0,1,1,1,1,1
