hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10002,1000201,1,62,1,0.886881,0,4,4,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1
10004,1000401,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1
10004,1000402,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1
10004,1000403,1,62,1,0.886881,0,4,4,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1
10004,1000404,1,62,1,0.886881,0,4,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1
10004,1000405,1,62,1,0.886881,0,4,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1
10004,1000406,1,62,1,0.886881,0,4,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1
10007,1000701,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1
10007,1000702,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1
10007,1000703,1,62,1,0.886881,0,4,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1
10007,1000704,1,62,1,0.886881,0,4,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1
10008,1000801,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10008,1000802,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10008,1000803,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10008,1000804,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10008,1000805,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10008,1000806,1,62,1,0.886881,0,4,4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10008,1000807,1,62,1,0.886881,0,4,4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1
10009,1000901,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0
10009,1000902,1,62,1,0.886881,0,4,4,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0
