hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10003,1000301,1,4,1,1.454022,0,2,2,3,2,2,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10003,1000302,1,4,1,1.454022,0,2,2,3,2,2,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10003,1000303,1,4,1,1.454022,0,2,2,2,1,2,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10004,1000401,1,4,1,1.454022,0,2,2,3,2,2,0.0,0.0,0,1.0,0,1,0,1,1,1,0.0,0.0,0,1.0,0,1,0,1,1,1
10005,1000501,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10005,1000502,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10005,1000503,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10005,1000504,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,0,0.0,0,1,0,0,1,0,0.0,0.0,0,0.0,0,1,0,0,1,0
10006,1000601,1,4,1,1.454022,0,2,2,4,2,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10006,1000602,1,4,1,1.454022,0,2,2,3,2,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10006,1000603,1,4,1,1.454022,0,2,2,3,2,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10006,1000604,1,4,1,1.454022,0,2,2,2,1,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10007,1000701,1,4,1,1.454022,0,2,2,3,2,1,0.0,1.0,0,0.0,0,1,1,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1
10007,1000702,1,4,1,1.454022,0,2,2,3,2,1,0.0,1.0,0,0.0,0,1,1,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1
10007,1000703,1,4,1,1.454022,0,2,2,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1
10007,1000704,1,4,1,1.454022,0,2,2,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1
10007,1000705,1,4,1,1.454022,0,2,2,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1,0.0,1.0,0,0.0,0,1,1,1,1,1
10008,1000801,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,1.0,0,0,0,0,1,1,0.0,0.0,0,1.0,0,0,0,0,1,1
10010,1001001,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,1,0.0,0,1,1,0,1,0,0.0,0.0,1,0.0,0,1,1,0,1,0
10010,1001002,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,1,0.0,0,1,1,0,1,0,0.0,0.0,1,0.0,0,1,1,0,1,0
10010,1001003,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,1,0.0,0,1,1,0,1,0,0.0,0.0,1,0.0,0,1,1,0,1,0
10010,1001004,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,1,0.0,0,1,1,0,1,0,0.0,0.0,1,0.0,0,1,1,0,1,0
10010,1001005,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,1,0.0,0,1,1,0,1,0,0.0,0.0,1,0.0,0,1,1,0,1,0
10010,1001006,1,4,1,1.454022,0,2,2,2,1,1,0.0,0.0,1,0.0,0,1,1,0,1,0,0.0,0.0,1,0.0,0,1,1,0,1,0
10014,1001401,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10014,1001402,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10015,1001501,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,0.0,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,1,0,0,0
10016,1001601,1,4,1,1.454022,0,2,2,4,2,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10016,1001602,1,4,1,1.454022,0,2,2,3,2,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10016,1001603,1,4,1,1.454022,0,2,2,1,1,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10016,1001604,1,4,1,1.454022,0,2,2,3,2,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10016,1001605,1,4,1,1.454022,0,2,2,3,2,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10016,1001606,1,4,1,1.454022,0,2,2,3,2,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10016,1001607,1,4,1,1.454022,0,2,2,1,1,2,0.0,1.0,0,0.0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,0,0,0,1,0
10017,1001701,1,4,1,1.454022,0,2,2,4,2,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10017,1001702,1,4,1,1.454022,0,2,2,4,2,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10017,1001703,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10017,1001704,1,4,1,1.454022,0,2,2,2,1,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10017,1001705,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10017,1001706,1,4,1,1.454022,0,2,2,1,1,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10017,1001707,1,4,1,1.454022,0,2,2,2,1,1,0.0,0.0,0,0.0,0,1,1,0,1,0,0.0,0.0,0,0.0,0,1,1,0,1,0
10021,1002101,1,4,1,1.454022,0,2,2,3,2,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10021,1002102,1,4,1,1.454022,0,2,2,2,1,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10021,1002103,1,4,1,1.454022,0,2,2,2,1,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10021,1002104,1,4,1,1.454022,0,2,2,1,1,2,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
10027,1002701,1,4,1,1.454022,0,2,2,3,2,1,0.0,0.0,0,0.0,0,0,0,1,1,0,0.0,0.0,0,0.0,0,0,0,1,1,0
20004,2000401,2,10,1,0.494848,0,4,4,3,2,2,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20004,2000402,2,10,1,0.494848,0,4,4,3,2,2,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20004,2000403,2,10,1,0.494848,0,4,4,3,2,2,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20004,2000404,2,10,1,0.494848,0,4,4,2,1,2,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
