hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10003,1000301,1,28,1,0.653763,0,13,3,3,2,1,0.0,1.0,0,0.0,1,0,1,1,1,1,0.0,0.0,0,0.0,1,0,1,1,1,1
10026,1002601,1,28,1,0.653763,0,13,3,4,2,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10026,1002602,1,28,1,0.653763,0,13,3,4,2,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10026,1002603,1,28,1,0.653763,0,13,3,2,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10026,1002604,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10026,1002605,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10027,1002701,1,28,1,0.653763,0,13,3,3,2,2,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
10036,1003601,1,28,1,0.653763,0,13,3,4,2,1,0.0,,1,1.0,1,0,1,1,1,1,0.0,0.0,1,1.0,1,0,1,1,1,1
10036,1003602,1,28,1,0.653763,0,13,3,3,2,1,0.0,,1,1.0,1,0,1,1,1,1,0.0,0.0,1,1.0,1,0,1,1,1,1
10036,1003603,1,28,1,0.653763,0,13,3,2,1,1,0.0,,1,1.0,1,0,1,1,1,1,0.0,0.0,1,1.0,1,0,1,1,1,1
10036,1003604,1,28,1,0.653763,0,13,3,1,1,1,0.0,,1,1.0,1,0,1,1,1,1,0.0,0.0,1,1.0,1,0,1,1,1,1
10036,1003605,1,28,1,0.653763,0,13,3,1,1,1,0.0,,1,1.0,1,0,1,1,1,1,0.0,0.0,1,1.0,1,0,1,1,1,1
10061,1006101,1,28,1,0.653763,0,13,3,4,2,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,1.0,0,0.0,1,1,1,1,1,1
10061,1006102,1,28,1,0.653763,0,13,3,3,2,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,1.0,0,0.0,1,1,1,1,1,1
10061,1006103,1,28,1,0.653763,0,13,3,2,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,1.0,0,0.0,1,1,1,1,1,1
10061,1006104,1,28,1,0.653763,0,13,3,1,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,1.0,0,0.0,1,1,1,1,1,1
10061,1006105,1,28,1,0.653763,0,13,3,1,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,1.0,0,0.0,1,1,1,1,1,1
10131,1013101,1,28,1,0.653763,0,13,3,3,2,2,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10131,1013102,1,28,1,0.653763,0,13,3,3,2,2,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10131,1013103,1,28,1,0.653763,0,13,3,1,1,2,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10131,1013104,1,28,1,0.653763,0,13,3,1,1,2,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10131,1013105,1,28,1,0.653763,0,13,3,1,1,2,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10131,1013106,1,28,1,0.653763,0,13,3,1,1,2,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10153,1015301,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10153,1015302,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10153,1015303,1,28,1,0.653763,0,13,3,2,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10153,1015304,1,28,1,0.653763,0,13,3,2,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10153,1015305,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10153,1015306,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10153,1015307,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10234,1023401,1,28,1,0.653763,0,13,3,3,2,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
10234,1023402,1,28,1,0.653763,0,13,3,2,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
10234,1023403,1,28,1,0.653763,0,13,3,2,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
10234,1023404,1,28,1,0.653763,0,13,3,2,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
10234,1023405,1,28,1,0.653763,0,13,3,1,1,2,0.0,1.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
10239,1023901,1,28,1,0.653763,0,13,3,4,2,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10239,1023902,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10239,1023903,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,0,1.0,1,0,1,1,1,1,0.0,0.0,0,1.0,1,0,1,1,1,1
10270,1027001,1,28,1,0.653763,0,13,3,3,2,2,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10270,1027002,1,28,1,0.653763,0,13,3,2,1,2,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10270,1027003,1,28,1,0.653763,0,13,3,2,1,2,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10270,1027004,1,28,1,0.653763,0,13,3,1,1,2,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10270,1027005,1,28,1,0.653763,0,13,3,1,1,2,0.0,0.0,1,1.0,1,1,1,1,1,1,0.0,0.0,1,1.0,1,1,1,1,1,1
10271,1027101,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10271,1027102,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10271,1027103,1,28,1,0.653763,0,13,3,2,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10271,1027104,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10271,1027105,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10271,1027106,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10273,1027301,1,28,1,0.653763,0,13,3,4,2,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10273,1027302,1,28,1,0.653763,0,13,3,3,2,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
10273,1027303,1,28,1,0.653763,0,13,3,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1,0.0,0.0,0,1.0,1,1,1,1,1,1
20010,2001001,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001002,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001003,2,14,1,1.127561,0,14,2,1,1,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001004,2,14,1,1.127561,0,14,2,1,1,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001005,2,14,1,1.127561,0,14,2,1,1,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001006,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001007,2,14,1,1.127561,0,14,2,2,1,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20010,2001008,2,14,1,1.127561,0,14,2,2,1,1,0.0,0.0,0,0.0,1,0,1,0,1,0,0.0,0.0,0,0.0,1,0,1,0,1,0
20028,2002801,2,14,1,1.127561,0,14,2,3,2,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20028,2002802,2,14,1,1.127561,0,14,2,3,2,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20028,2002803,2,14,1,1.127561,0,14,2,4,2,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20028,2002804,2,14,1,1.127561,0,14,2,3,2,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20028,2002805,2,14,1,1.127561,0,14,2,2,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20028,2002806,2,14,1,1.127561,0,14,2,2,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20028,2002807,2,14,1,1.127561,0,14,2,1,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,0.0,0,0.0,1,1,1,0,1,1
20032,2003201,2,14,1,1.127561,0,14,2,4,2,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003202,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003203,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003204,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003205,2,14,1,1.127561,0,14,2,2,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003206,2,14,1,1.127561,0,14,2,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003207,2,14,1,1.127561,0,14,2,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003208,2,14,1,1.127561,0,14,2,3,2,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20032,2003209,2,14,1,1.127561,0,14,2,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,1,1,1,1,1,1
20046,2004601,2,14,1,1.127561,0,14,2,4,2,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20046,2004602,2,14,1,1.127561,0,14,2,3,2,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20046,2004603,2,14,1,1.127561,0,14,2,3,2,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20046,2004604,2,14,1,1.127561,0,14,2,2,1,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20046,2004605,2,14,1,1.127561,0,14,2,2,1,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20046,2004606,2,14,1,1.127561,0,14,2,1,1,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20046,2004607,2,14,1,1.127561,0,14,2,1,1,2,0.0,1.0,0,0.0,1,0,1,1,1,0,0.0,0.0,0,0.0,1,0,1,1,1,0
20093,2009301,2,14,1,1.127561,0,14,2,3,2,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1
20093,2009302,2,14,1,1.127561,0,14,2,3,2,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1
20093,2009303,2,14,1,1.127561,0,14,2,2,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1,0.0,1.0,0,0.0,1,1,1,0,1,1
