hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10001,1000101,1,2,,0.349022,0,1,1,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,0,1,0
10002,1000201,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10002,1000202,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10002,1000203,1,2,,0.349022,0,1,1,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10002,1000204,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10002,1000205,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10002,1000206,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10003,1000301,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,0.0,1.0,0.0,0.0,1,1,1,1,1,1
10003,1000302,1,2,,0.349022,0,1,1,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,0.0,1.0,0.0,0.0,1,1,1,1,1,1
10003,1000303,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,0.0,1.0,0.0,0.0,1,1,1,1,1,1
10003,1000304,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,0.0,1.0,0.0,0.0,1,1,1,1,1,1
10004,1000401,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,0,1,0,0,1,1
10004,1000402,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,0,1,0,0,1,1
10004,1000403,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,0,1,0,0,1,1
10004,1000404,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,0,1,0,0,1,1
10005,1000501,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10005,1000502,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10005,1000503,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10005,1000504,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10005,1000505,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10005,1000506,1,2,,0.349022,0,1,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10006,1000601,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0,1,1,0,1,0
10007,1000701,1,2,,0.349022,0,1,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
10007,1000702,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
10007,1000704,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
10007,1000705,1,2,,0.349022,0,1,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
10007,1000706,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
10008,1000801,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1
10008,1000802,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1
10008,1000803,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1
10008,1000804,1,2,,0.349022,0,1,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1
10008,1000805,1,2,,0.349022,0,1,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1
10009,1000901,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
10010,1001001,1,2,,0.349022,0,1,1,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,0,1,0.0,0.0,0.0,1.0,1,1,1,0,0,1
10011,1001101,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0
10011,1001102,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0
10012,1001201,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,,0.0,0.0,0,0,1,0,1,0
10012,1001202,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,,0.0,0.0,0,0,1,0,1,0
10012,1001203,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,,0.0,0.0,0,0,1,0,1,0
10012,1001204,1,2,,0.349022,0,1,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,,0.0,0.0,0,0,1,0,1,0
10012,1001205,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0.0,,0.0,0.0,0,0,1,0,1,0
10015,1001501,1,2,,0.349022,0,1,1,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0,1,1,0,1,0
10015,1001502,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0,1,1,0,1,0
10015,1001503,1,2,,0.349022,0,1,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0,1,1,0,1,0
10015,1001504,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0,1,1,0,1,0
10016,1001601,1,2,,0.349022,0,1,1,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001602,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001603,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001604,1,2,,0.349022,0,1,1,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001605,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001606,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001607,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10016,1001608,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10017,1001701,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,0,1,0
10017,1001702,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,0,1,0
10017,1001703,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,0,1,0
10018,1001801,1,2,,0.349022,0,1,1,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0.0,0.0,0.0,1.0,0,0,1,0,0,1
10020,1002001,1,2,,0.349022,0,1,1,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0,1,1,0,1,0
10022,1002201,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0
10022,1002202,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0
10022,1002203,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0
10022,1002204,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0,1,0
10023,1002301,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0,1,1,0.0,0.0,0.0,1.0,1,0,1,0,1,1
10023,1002302,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0,1,1,0.0,0.0,0.0,1.0,1,0,1,0,1,1
10023,1002303,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0,1,1,0.0,0.0,0.0,1.0,1,0,1,0,1,1
10023,1002304,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0,1,1,0.0,0.0,0.0,1.0,1,0,1,0,1,1
10024,1002401,1,2,,0.349022,0,1,1,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,1
10025,1002501,1,2,,0.349022,0,1,1,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1,1,1,0,1,1,1.0,0.0,0.0,1.0,1,1,1,0,1,1
10025,1002502,1,2,,0.349022,0,1,1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1,1,1,0,1,1,1.0,0.0,0.0,1.0,1,1,1,0,1,1
10025,1002503,1,2,,0.349022,0,1,1,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1,1,1,0,1,1,1.0,0.0,0.0,1.0,1,1,1,0,1,1
10026,1002601,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0,1,1,0.0,1.0,0.0,1.0,1,1,1,0,1,1
10026,1002602,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0,1,1,0.0,1.0,0.0,1.0,1,1,1,0,1,1
10026,1002603,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0,1,1,0.0,1.0,0.0,1.0,1,1,1,0,1,1
10026,1002604,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0,1,1,0.0,1.0,0.0,1.0,1,1,1,0,1,1
10026,1002605,1,2,,0.349022,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,0,1,1,0.0,1.0,0.0,1.0,1,1,1,0,1,1
10027,1002701,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
10028,1002801,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002802,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002803,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002804,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002805,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002806,1,2,,0.349022,0,1,1,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002807,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002808,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002809,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10028,1002810,1,2,,0.349022,0,1,1,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,1,0
10029,1002901,1,2,,0.349022,0,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,0.0,0.0,0.0,0.0,1,1,1,0,1,1
