hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10003,1000301,1,9,1,0.956268,1,3,3,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10004,1000401,1,9,1,0.956268,1,3,3,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10004,1000402,1,9,1,0.956268,1,3,3,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10005,1000501,1,9,1,0.956268,1,3,3,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
10005,1000502,1,9,1,0.956268,1,3,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
10005,1000503,1,9,1,0.956268,1,3,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
10006,1000601,1,9,1,0.956268,1,3,3,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
10006,1000602,1,9,1,0.956268,1,3,3,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
10006,1000603,1,9,1,0.956268,1,3,3,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
10006,1000604,1,9,1,0.956268,1,3,3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
10006,1000605,1,9,1,0.956268,1,3,3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
10006,1000606,1,9,1,0.956268,1,3,3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0
10008,1000801,1,9,1,0.956268,1,3,3,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10008,1000802,1,9,1,0.956268,1,3,3,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10008,1000803,1,9,1,0.956268,1,3,3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10008,1000804,1,9,1,0.956268,1,3,3,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10010,1001001,1,9,1,0.956268,1,3,3,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1
10010,1001002,1,9,1,0.956268,1,3,3,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1
