hh_id,ind_id,psu,strata,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
1002,1000201,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
1002,1000202,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
1002,1000203,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
1003,1000301,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000302,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000303,1,10,4.50296,1,4,4,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000304,1,10,4.50296,1,4,4,2.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000305,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000306,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000307,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1003,1000308,1,10,4.50296,1,4,4,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1004,1000401,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1004,1000402,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1004,1000403,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1004,1000404,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1004,1000405,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1004,1000406,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1005,1000501,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0
1005,1000502,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0
1005,1000503,1,10,4.50296,1,4,4,2.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0
1005,1000504,1,10,4.50296,1,4,4,2.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0
1005,1000505,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0
1005,1000506,1,10,4.50296,1,4,4,2.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0
1006,1000601,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0
1006,1000602,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0
1006,1000603,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0
1006,1000604,1,10,4.50296,1,4,4,2.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0
1006,1000605,1,10,4.50296,1,4,4,2.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0
1006,1000606,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0
1007,1000701,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0
1009,1000901,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000902,1,10,4.50296,1,4,4,3.0,2.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000903,1,10,4.50296,1,4,4,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000904,1,10,4.50296,1,4,4,2.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000905,1,10,4.50296,1,4,4,2.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000906,1,10,4.50296,1,4,4,2.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000907,1,10,4.50296,1,4,4,2.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1009,1000908,1,10,4.50296,1,4,4,2.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0
1010,1001001,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1010,1001002,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1010,1001003,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1010,1001004,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1010,1001005,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1010,1001006,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1010,1001007,1,10,4.50296,1,4,4,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0
1012,1001201,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1
1012,1001202,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1
1012,1001203,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1
1013,1001301,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1013,1001302,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1013,1001303,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0
1014,1001401,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
1014,1001402,1,10,4.50296,1,4,4,3.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
1014,1001403,1,10,4.50296,1,4,4,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
2001,2000101,2,10,0.86007714,1,4,4,3.0,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0
2001,2000102,2,10,0.86007714,1,4,4,3.0,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0
2001,2000103,2,10,0.86007714,1,4,4,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0
2001,2000104,2,10,0.86007714,1,4,4,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0
2002,2000201,2,10,0.86007714,1,4,4,3.0,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
2002,2000202,2,10,0.86007714,1,4,4,2.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
2002,2000203,2,10,0.86007714,1,4,4,3.0,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
