hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,headship,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01
10001,1000101,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10003,1000301,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10003,1000302,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10003,1000303,1,10,,1.590305,1,2,2,2,1,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10003,1000304,1,10,,1.590305,1,2,2,2,1,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10003,1000305,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10003,1000306,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10007,1000701,1,10,,1.590305,1,2,2,4,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10007,1000702,1,10,,1.590305,1,2,2,4,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10007,1000703,1,10,,1.590305,1,2,2,4,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10007,1000704,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
10008,1000801,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0,1,0,0,0,0
10008,1000802,1,10,,1.590305,1,2,2,3,2,1.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0,1,0,0,0,0
10008,1000803,1,10,,1.590305,1,2,2,2,1,1.0,0.0,0.0,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0,1,0,0,0,0
