,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.11427453181474419,0.07085187141393291,0.038878276924701985,0.10325474277086354,0.09952360759686944,0.06345370836205991,0.12406139893633052,0.11064606449940301,0.10300262406593931
Nutrition,0.16060141342391576,0.0,0.1660978072003116,0.1339342255640383,0.2380221054293794,0.19552294768146924,0.19807393431485668,0.19470045889209783,0.21396441696874594,0.17992066585367292
School attendance,0.05603941256364217,0.09347731617575109,0.0,0.04788847876656055,0.1162081353095401,0.0510547705434668,0.09154221248708469,0.06558103025234054,0.10147131675914672,0.16708320675905114
Schooling,0.011432631281055516,0.02802404660903229,0.017804426177758962,0.0,0.05842805475152474,0.030687049150541195,0.045505082479967075,0.029071803983768598,0.03653289057855082,0.06115353724373505
Electricity,0.1321620293861858,0.21677743319417006,0.18805763657506214,0.2543190712835398,0.0,0.23528677589910404,0.24735405262118926,0.2441037237122388,0.3286717380774215,0.45624885980135954
Drinking water,0.06304609002486583,0.08813123805983082,0.0408908490157929,0.06610708209960037,0.11644822596048145,0.0,0.08957986075666124,0.0712111020571702,0.08317542145336655,0.06244443309848593
Sanitation,0.12532612481625116,0.2783633269543724,0.22859343794603953,0.30563657239654585,0.38168662653772195,0.27929485689087435,0.0,0.2437782224886993,0.33238338754331975,0.3164944443839494
Housing,0.3207818626783409,0.35821205196370526,0.21439226745154916,0.2556265297752063,0.4931179887087966,0.29066235649675254,0.3191416117159762,0.0,0.4791759031022831,0.38691802068099074
Cooking fuel,0.2476055095957854,0.3406951686787765,0.28709483577469835,0.27801560955212756,0.5746322611152079,0.29382401934442104,0.37659889339403974,0.41471158919221973,0.0,0.4200866092155806
Assets,0.06797594726932644,0.08448665517877779,0.13941115751294136,0.13724273806588266,0.23524049362156396,0.06505319919207414,0.10575197029825376,0.09875357035174973,0.12388578721720295,0.0
