,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.03814088502475321,0.027903004481746298,0.00628051546590891,0.0,0.03047490336574005,0.1788059657166776,0.010693856616931908,0.0,0.03666212516283156
Nutrition,0.09598481276991673,0.0,0.010690743671491953,0.016120563763473823,0.0851918121861115,0.029511637452775196,0.22772812722832986,0.034361622835429255,0.0,0.14788925637207695
School attendance,0.053447968248208945,0.008137226275475926,0.0,0.09972036133202701,0.2259393468762495,0.141910938258331,0.037583855022731164,0.12915754459441542,0.0,0.29775755282330535
Schooling,0.005454304363579878,0.005563044698650908,0.045211372486455216,0.0,0.012756740362964597,0.072279018462566,0.034589604155996156,0.04612498625581531,0.038715771229377,0.3445140478649144
Electricity,0.0,0.006164223726781559,0.02147849906122155,0.002674779148330739,0.0,0.04520341349013982,0.013833513495812565,0.005687402674086206,0.2294599232720461,0.12058111853255693
Drinking water,0.021709616138510628,0.008353940129504089,0.05277709076063462,0.059289525413758516,0.17684335543069785,0.0,0.016045216436949516,0.05856497592417257,0.0,0.08395899025127995
Sanitation,0.034383032286533326,0.01740071481382871,0.003772969224593868,0.007658852098663688,0.014608390734815057,0.004331097324479684,0.0,0.004232138582728443,0.0,0.02670095332988698
Housing,0.007657778253221909,0.009777556635326473,0.048284526591514734,0.03803300142534167,0.022366092428902928,0.058870346402610955,0.015760360215310912,0.0,0.2681756945014231,0.07459553294032166
Cooking fuel,0.0,0.0,0.0,0.00024337428661571408,0.006879318359734345,0.0,0.0,0.0020444751708069545,0.0,0.011691875302312494
Assets,0.004625786995945823,0.00741468771451121,0.019613294512373675,0.05005308508491077,0.08355164622381199,0.014870493950852258,0.017519939105782683,0.013143541075570727,0.27022237944118616,0.0
