,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.08605949252842496,0.0,0.0,0.10440093715124893,0.08642041054463319,0.035140257149572446,0.05685307369096439,0.10322199607050583,0.0866770257488243
Nutrition,0.06758613058170085,0.0,0.10964617460739491,0.0,0.0,0.07387503248266863,0.05696884314348979,0.05802093561255391,0.03975648840656663,0.05726884832895232
School attendance,0.0,0.005748563003836899,0.0,0.0,0.0,0.002882465666217299,0.0,0.004666417577562135,0.019001303163310355,0.0
Schooling,0.0,0.0,0.0,0.0,0.10065226705351547,0.0023730158924176277,0.001113931034533656,0.003331953437681546,0.01521102543731496,0.09443637607101613
Electricity,0.00030510287767996096,0.0,0.0,0.006044017200795465,0.0,0.00028780747281393796,0.000490443946634226,0.0006588123955847322,0.0038791854786628644,0.07621994804895425
Drinking water,0.056763719078564076,0.06178647225585292,0.04598265532688868,0.03202693566541419,0.06468665235776098,0.0,0.02349909748918013,0.04260796937864079,0.09711255560656874,0.06896542550685329
Sanitation,0.011623832060644303,0.023995123504477467,0.0,0.0075711686243238804,0.0555126376782318,0.011834258663523178,0.0,0.0042510231913394335,0.01891160181075581,0.1279101113923574
Housing,0.08048206786712295,0.1045854098390939,0.16043686350895775,0.09691797346838726,0.3191280894931667,0.09182934723699944,0.01819257860028824,0.0,0.1410296804228536,0.27701738403336706
Cooking fuel,0.024524884103953263,0.012027737068989717,0.1096461746073949,0.0742597404499981,0.31537941939543324,0.03512817412700737,0.013583717291525346,0.023670097961659572,0.0,0.17509959093595218
Assets,0.002232317706866229,0.0018780694621254575,0.0,0.04997485472707736,0.6717052540660389,0.002704138346578158,0.009958925633368247,0.005039806360373702,0.018980271677415762,0.0
