,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.28782908625264464,0.01260491290509063,0.02894075585092721,0.0,0.0,0.025453577905649744,0.0,0.029448360546541364,0.0
Nutrition,0.382242355229467,0.0,0.16177801476919973,0.0346196007260818,0.1383643367479913,0.0,0.0037553137776256823,0.04581021046124967,0.028845159030281287,0.0
School attendance,0.008322357159213891,0.08043070454784544,0.0,0.04788370316812966,0.0,0.0,0.009685847669672808,0.1487479830261544,0.025128277703445667,0.3454915851586795
Schooling,0.035695355883553395,0.03215287203996674,0.08945056252518321,0.0,0.41509301024397394,0.018882184588088304,0.07158987893910865,0.08351362724603562,0.042497737876233406,0.39773572592081274
Electricity,0.0,0.006973181240481968,0.0,0.022524465313955137,0.0,0.05193116550784605,0.0037553137776256823,0.013950435356096526,0.0030511577289087373,0.4289122426676704
Drinking water,0.0,0.0,0.0,0.008741375521049114,0.4430436723071166,0.0,0.013054791013057399,0.04334408448491299,0.015716298080775064,0.4289122426676704
Sanitation,0.06276791315357792,0.006973181240481968,0.03617595342246916,0.14313262401681623,0.1383643367479913,0.05638056067269121,0.0,0.1364829981583708,0.08723424445104096,0.39773572592081274
Housing,0.0,0.0686952540311904,0.44865567053053834,0.1348416556278899,0.41509301024397394,0.15117118765606657,0.11021945989057724,0.0,0.05867410916783966,0.39773572592081274
Cooking fuel,0.6459626084918039,0.4764475150522853,0.8348385214758155,0.7558058074902272,1.0,0.6037638825166604,0.7759690686305203,0.6462851636568431,0.0,1.0
Assets,0.0,0.0,0.03617595342246917,0.022293680260278503,0.4430436723071166,0.05193116550784605,0.011150510807047207,0.01380749957815047,0.003151684635058008,0.0
