,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.0,0.0,0.0,0.0,0.0,0.002290427848504525,0.0036054659553801036,0.0,0.0
Nutrition,0.0,0.0,0.054581310794307086,0.0,0.5266825216494864,0.026982781666254577,0.049125259161072264,0.044982125838982506,0.06803290857435551,0.0
School attendance,0.0,0.021487032931240515,0.0,0.0,0.0,0.005371064434362891,0.018620154814668995,0.0604570109975727,0.018946689715714116,0.08908170848995225
Schooling,0.0,0.0,0.0,0.0,0.0,0.018572133530490528,0.007704138045028888,0.009035843053315553,0.004409884338710198,0.1096899083044377
Electricity,0.0,0.005978437059850132,0.0,0.0,0.0,0.0,0.0,0.00036357705520329226,0.0,0.0
Drinking water,0.0,0.01619743581805069,0.00819006639961421,0.14339645875031184,0.0,0.0,0.049515262599462644,0.017723092461169983,0.11807867016331619,0.0
Sanitation,0.24740215304024485,0.3219342099577941,0.3099652968587766,0.6493867315366442,0.0,0.5405573944178147,0.0,0.4291393809555707,0.5278500863837213,0.6620883913097314
Housing,0.12059447795729206,0.09128121539764128,0.3116417406742972,0.23584528434104565,0.06499787381234966,0.05991304499388046,0.13288548132892025,0.0,0.06594518379231798,0.4120684806570854
Cooking fuel,0.0,0.05243814111786545,0.03709617264670408,0.04371923246183143,0.0,0.1516142962198221,0.06208355423808935,0.025047817746910114,0.0,0.17237667924501918
Assets,0.0,0.0,0.02098118277862127,0.1308150379073915,0.0,0.0,0.009367584438857981,0.018827899704158064,0.020735961514898107,0.0
