,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.03340730919686645,0.09939614406914374,0.014989040593042303,0.025763213661481463,0.03186807513212143,0.033195522534991154,0.0570568906156669,0.0438323256831931,0.026126712900156675
Nutrition,0.1293266002762187,0.0,0.23570898717088273,0.05780175714043781,0.20046140549993688,0.2313962725873934,0.16147436932138848,0.17610125210233066,0.2255214918560081,0.22707565551105352
School attendance,0.08542936300994508,0.05233200914059677,0.0,0.026014218225781465,0.06976771294296005,0.07073594660950028,0.038322461044666696,0.055500015604588976,0.07110709336658683,0.0869321256210633
Schooling,0.02850382606577872,0.028393831452910186,0.05755757278144179,0.0,0.05461149462206705,0.03730643764924813,0.04608219119584219,0.05223407866333984,0.06577000622990993,0.1309670594267798
Electricity,0.1774266070900321,0.35661788420172114,0.5590305832430417,0.1977759373525774,0.0,0.7086173199456376,0.32957098488026176,0.4962171027284029,0.5631743734598376,0.7726344607037329
Drinking water,0.07145877977053393,0.13403238884715588,0.18454500807256077,0.04399002621400358,0.23072402225112346,0.0,0.13839590527434117,0.2715484299543563,0.36034749351861955,0.34549628944694183
Sanitation,0.20859157810997128,0.2621045095139933,0.2801773483061322,0.15227235290620397,0.3007097557559115,0.38782940840476443,0.0,0.3178656913701169,0.32598543057988216,0.4343536998926777
Housing,0.2640220085341557,0.21049806576536378,0.29880475481931024,0.12710324702151887,0.3334149323857942,0.5603760461298696,0.23407682857635567,0.0,0.4455691223131981,0.45814601203036376
Cooking fuel,0.14699953850765504,0.19537231762054727,0.27745768103541807,0.11598985793440857,0.2742493640296812,0.538943451098035,0.17398122600359842,0.3229271158418009,0.0,0.4748886066424446
Assets,0.0670887154347683,0.15062217536998462,0.2597211822610793,0.17684690209678897,0.28808461491175336,0.39564741032343415,0.17749698001462058,0.2542357289591217,0.36360931184268913,0.0
