,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.08662946445285895,0.0747600292872717,0.0,0.0,0.13130016056317534,0.08766548991752085,0.07646823170127807,0.09171050904162527,0.025676074151297124
Nutrition,0.11164769804543784,0.0,0.08268226623206146,0.35463827175919227,0.0,0.08989389370153808,0.06180222163874885,0.09027979635469442,0.1415391053667249,0.009664482996722604
School attendance,0.014571404045343602,0.012504322496346318,0.0,0.0,0.0,0.019431608982237548,0.012860571061677638,0.0294015846081874,0.017854933283516318,0.02362241918879705
Schooling,0.0,0.004356458642017343,0.0,0.0,0.0,0.0002746049275045389,0.0,0.0017422585672418577,0.00031238879903245807,0.0032006085319243893
Electricity,0.0,0.0,0.0,0.0,0.0,0.00025502372650303975,0.0,0.0,9.245280713305653e-05,0.0038121271639197027
Drinking water,0.17102152250006342,0.09085138651535894,0.12985609416891694,0.02259236521405506,1.0,0.0,0.07306888134561393,0.18348309513566285,0.20970398788369402,0.27006919194591766
Sanitation,0.02278762731362017,0.012464945598445552,0.0171513677684501,0.0,0.0,0.014582009981836782,0.0,0.017192068753925954,0.012237915567958595,0.17685339267101507
Housing,0.09010660438435823,0.08254333345682391,0.1777519509140446,0.12967493770522937,0.0,0.1659916044542657,0.07793513138619575,0.0,0.10985363288258454,0.14296886268840175
Cooking fuel,0.32950734559781963,0.394582935290144,0.3291336533598053,0.07089397257432088,1.0,0.5784517973119089,0.1691542856062988,0.3349537496359585,0.0,0.2885897756718567
Assets,0.0022373160628915882,0.0006534211717939698,0.010560662254983704,0.0176156689839476,1.0,0.018067091883916853,0.05928456957719521,0.010572181378973517,0.006998962448914835,0.0
