,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.028392896586694458,0.017156610428392442,0.01054672196651077,0.0,0.031430472504274436,0.037685846304234716,0.03159139659111738,0.008324391864956877,0.026583240947451535
Nutrition,0.13582264494667146,0.0,0.08122518400771722,0.026170091433542805,1.0,0.0,0.14038203118458029,0.0,0.22652963023826397,0.18201600971526696
School attendance,0.03981636050948658,0.039405631441762574,0.0,0.004673786687735518,0.0,0.0,0.03718979088566019,0.020269102348516442,0.030213122120240042,0.023582540664581316
Schooling,0.008386173166749705,0.004349998286222495,0.0016013458768018346,0.0,0.0,0.0,0.018873409054118172,0.03545137447872586,0.007703559144327438,0.07339464015476883
Electricity,0.0,0.0034488017226206357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drinking water,0.005352872787866714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005999767952325561,0.0065483869883714504
Sanitation,0.06193937176084964,0.04823225451647753,0.02633796339951242,0.03901149085366593,0.0,0.0,0.0,0.059388667875904425,0.10612967901858926,0.1050339751597486
Housing,0.008430096287229608,0.0,0.002330602216242284,0.011897356043864202,0.0,0.0,0.00964225849040259,0.0,0.07175133146515539,0.016118576123577612
Cooking fuel,0.00660133243649826,0.037552739196070765,0.010323919841057435,0.007682882307115193,0.0,0.027936855999955598,0.05120677384530801,0.21322854470874145,0.0,0.04561288568774643
Assets,0.0217300393720784,0.031102814623314642,0.00830640509626037,0.07545197329488426,0.0,0.031430472504274436,0.05223888086728566,0.04937595978348584,0.047017663813596726,0.0
