,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.045563566595891385,0.03261889571221511,0.01700055264758779,0.016482118822121528,0.06571826579079046,0.04653607459033292,0.025652537884586952,0.03222012382105974,0.021814114602737415
Nutrition,0.11858709124242185,0.0,0.06216163385151605,0.034369973103523924,0.017541481050701885,0.12249271524577274,0.07591433213549167,0.09001719828220482,0.07525126433980373,0.052234709527210314
School attendance,0.014059535444943571,0.010294480449505782,0.0,0.007157898923024397,0.0010529479256124773,0.020717421185965177,0.01760715348704484,0.01539042415069396,0.010327382098723002,0.0302115601704854
Schooling,0.09463589299169281,0.07351100036783272,0.09244356594135725,0.0,0.26593667945836186,0.21784150302966093,0.17823584229922879,0.19143986356209514,0.21635962625655708,0.6902704290875271
Electricity,0.0034224094189505587,0.001399476067385403,0.0005072523858097839,0.009919832031651735,0.0,0.012052514330467726,0.017110704867683856,0.020193317798182345,0.00809840297217961,0.08440764735354345
Drinking water,0.05037269790853413,0.03607444634376144,0.03684199132494107,0.029995554663339617,0.04449055793809896,0.0,0.0356319367462646,0.06376379039558612,0.02628085006094821,0.18659530668503477
Sanitation,0.05469195361283559,0.034279759082711574,0.04800883012958092,0.03763014464523926,0.09684621869229332,0.05463412617312572,0.0,0.09501732637068352,0.035155177433791894,0.15193373045073533
Housing,0.049130812866734895,0.06624138422351682,0.06838683175466578,0.06586628105345817,0.18625689995551883,0.15932672165743397,0.15484341038087157,0.0,0.06762307289727355,0.28579006097558163
Cooking fuel,0.366139446108786,0.3285590331428155,0.27227504846966294,0.4416748728380214,0.4432000254021865,0.38962750395613094,0.3399185922548013,0.40122741995122435,0.0,0.6160619134025405
Assets,0.007838027358372706,0.007211218653524903,0.025184922650932914,0.04455491386092922,0.14606025632311292,0.08747033368884993,0.046450425434323935,0.053615788066791806,0.019479339634448003,0.0
