,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.011194509585413561,0.02255171619025882,0.012135458561071386,0.020593768282560352,0.015282140703674545,0.016158428284078697,0.04255191600490934,0.05902022401704969,0.03155326994489821
Nutrition,0.0589694364597736,0.0,0.06101715591134369,0.05167455352883679,0.10310041038278595,0.07291132320630052,0.07154290600526277,0.018189166565916935,0.09274606631250666,0.08875872649592088
School attendance,0.08978137135086856,0.04611441388611883,0.0,0.03211684495598889,0.07815068669147043,0.08454869826744653,0.09589950587522951,0.10265283886643418,0.18046568497520965,0.07304072909931664
Schooling,0.14683772488457977,0.1186960545690793,0.09761300735541423,0.0,0.2809728281295178,0.23989779935857872,0.2757511155370144,0.1582086697654663,0.6374343282199899,0.3315634957544315
Electricity,0.01769361270883758,0.016815863914129543,0.016865796510073045,0.01995094919260582,0.0,0.04578863406097104,0.039884205705874094,0.08340413130894725,0.16065017891424077,0.0882639360267321
Drinking water,0.12702119718065172,0.11504429386082954,0.1765193403798547,0.16479226255773324,0.4429645799028188,0.0,0.2463548065276709,0.10160596524645328,0.6851830217236385,0.22115347370901908
Sanitation,0.14956133737833097,0.12570857309456712,0.22296154085659634,0.21093859436006276,0.42967538755158763,0.27434007764607177,0.0,0.26433179567935194,0.47471902614623646,0.33809759025057234
Housing,0.06454666375076719,0.0052377597583976475,0.039112808944904834,0.019833689192965832,0.14725211722640535,0.01854308024926131,0.043319542456786354,0.0,0.21662340654063572,0.04942475684359046
Cooking fuel,0.03387419287780812,0.010105125143700327,0.026016933053206473,0.030235843956937392,0.10731702405051723,0.04731323981022861,0.02943638779002319,0.08196318079621664,0.0,0.05055580449998096
Assets,0.19550929765362599,0.10440281293664512,0.11367932993015155,0.16978851002130457,0.636539909382434,0.1648636080665609,0.2263314434074525,0.20188911506447926,0.5457904922142445,0.0
